question_id,answer
db48f173-2d80-4ddf-8239-69d2e42cfdf8,yes
3e199641-c3b0-404f-aa41-2b93c20fcd10,yes
a902598d-6d8c-4f38-be38-38939cd8fd8b,yes
2338908e-1e11-4151-92f8-7c5b33b7546f,yes
3edbffe3-0ff4-4a0a-b356-9bfcba9863e0,yes
8081819c-143c-4a53-8631-510112e2fc6d,yes
2dddf62a-a580-446b-815b-76d7b822b55a,yes
3988f449-cf0d-4484-9a6e-071ae382fdc6,yes
572c0d4c-1f14-47a1-b954-f793e400a268,yes
84060e0a-7c57-4dd3-9407-cba949387f34,yes
e1676b0a-8a94-40b8-a47d-f2cd0d3c01da,yes
55537f91-e191-4927-a3f0-999229096690,yes
4718181a-3b2a-42ca-8591-08f2e7053c94,yes
3592a46c-6228-41df-9a8b-0025693dc9f8,yes
10dbcfcd-2d95-4c86-b3aa-c8f643c86697,yes
89033f8d-6610-4cfc-bfca-14f72fbdf190,yes
4a6ae2c0-c45a-4454-b4f3-3fc9e6d98f43,yes
e1aba439-e57d-4fb2-875c-75b60c3b9225,yes
20967a93-0808-465d-b451-e19dd715b9b5,yes
f3c6a4e4-85a2-41f2-909d-88bd48a6d200,yes
e94472f3-2bc4-4e46-8dba-4fe952c0d9f5,yes
9ecf4fe7-2f3b-4cef-873b-b8cd3bb0a5eb,yes
a8227ec4-b17f-456c-a08d-17f16b7163de,yes
7a0b86b4-c646-420f-be66-ebd17824c04a,yes
43dd9d2d-5582-4536-9ee0-7ec3918de953,no
406545d9-14d4-47b1-89d8-47230a5d26a0,no
07fa0291-7548-4877-bfc6-c399be249293,no
be320969-d4db-43c5-9c05-a1abfcf18d79,no
8b5db969-9f9c-44d2-be4f-cd576388d733,no
fc24e07f-6095-4e84-acf6-e5ee0a3ae582,no
82e6d924-2b14-4ce5-b004-71992b80ad73,no
1af2d40f-1613-40f2-8ca1-326a459011b3,no
c72a4939-4f2b-47a5-b51c-64648a9e7821,no
ae943942-726c-4860-a9ce-4281f17d722e,no
6b479eab-741c-43d5-9b97-5c516612fd7b,no
603c58f7-ee9b-4e30-aada-5d72556da2ae,no
f6a9ac90-e1d2-4b9f-87de-0650e09021ad,no
29e39233-727d-44f0-aba5-76483cde3eb4,no
619e5851-8435-4c0b-abe6-1271afc4fe2a,no
9b40bf37-ee4f-42b2-8acd-27143bfa6e6e,no
009b1a60-a2b4-4ce8-813a-e1d3c752fa92,no
e657f653-7d2e-479b-82d3-af560942eb78,no
46053249-d46a-4cd1-a287-f4d6dd464944,no
4a29e6f9-c7e5-4346-bb9f-000c3459dc89,no
afcdda7a-4d10-460e-9a6c-db8903e34778,no
531fd005-4e4f-4190-8e6a-7629f4d9355f,no
03070289-baf3-4a2c-ba19-254794ba4445,no
9918efdb-a857-448c-afc9-16abfc765683,no
006acec2-754f-4d0b-a67a-09eadc39a2d5,yes
0215b6a5-675f-4123-8bdd-82f75b1763bc,yes
2456d79d-82a5-477c-8f8d-2e4856178a3f,yes
411947a2-b339-4603-a660-11767aeea030,yes
566432c4-53c4-471f-8b76-e00eadcd22b5,yes
d23f2beb-541a-4762-b0c4-03b1f77d9da9,yes
221a6ef4-25a6-465a-8d2f-a37b6b296886,yes
0ce8d470-d91a-4be7-b8dd-c6e43effb112,yes
f7d42048-b940-46c3-8443-d2e212da6296,yes
4cfa5c56-9e8b-40a6-9268-097a13dcaa2f,yes
e1dab541-ac23-4942-824e-b38097d08d6f,yes
d5b21bbe-177e-442f-9d68-a1b5b80bfd3d,yes
51dd2422-b86f-41d9-a298-481ef8582191,yes
3a0778ed-5e3d-426f-b1b0-5a1e202b2707,yes
e5c7d3d8-675a-4f6d-a1f7-67de26014e56,yes
328981a0-62b2-42ca-ada9-15d88f1853b6,yes
414fdc62-d29d-4461-9922-56bdf39a3db3,yes
425577bb-09f5-41b0-992c-8d136d28198f,yes
699ccbdc-3bab-4116-8e5a-9fabf95a62dd,yes
cc75e70a-2e25-4911-839c-113712339d6c,yes
862f5357-ba06-4e0a-8183-89a5fb420383,yes
bcb826ea-013d-4341-a46a-b65cbcc0e614,yes
00e1f807-9f25-4641-917d-1ee11b41ef9c,yes
28822c61-9612-4a90-bd1c-b8e5189ca0a3,yes
90e85297-770e-4f8c-9fe5-1e99e758b9a5,no
080170e4-a3e6-420d-936e-eaee4a00f291,no
baecab5e-6582-4bed-a74d-8788199db501,no
2258ced4-6707-4b3b-9b93-d759d9170f9c,no
822d4bf3-7e21-4146-9c0c-91cf23abc85a,no
1709fd96-8c92-4007-af68-dd17acb76d01,no
a09424fb-f3d5-41b9-b0c7-9a4f09218edf,no
2ebd4848-7c8a-4eca-901b-aeaf41057f06,no
21113a7f-431c-4a2f-92c4-3f0f9addfe39,no
bc815732-e6e8-49a1-a630-c168578b0fcb,no
0a2dc1cc-52c9-45ed-b710-e6a9b80188c4,no
6bca6b50-1b9b-42e5-9999-ce304c3c04df,no
b3e925bf-851f-4ec8-a046-31514e94f7f5,no
b3d77a23-ca70-4c8c-acc0-2f5ed328671c,no
a8332c48-5f17-479b-80ae-97cc9ba89143,no
bccb9f02-08c3-4701-aaff-765851c6e794,no
20792b31-fcfb-4188-bcf1-f3e54382c9d2,no
edd45f76-6ac1-4357-97b3-0fd669ca7870,no
202e5dc3-0607-4208-92a8-eb95d77ed515,no
a715aa2a-d165-4db5-b33f-f9902b0972ac,no
ce2e972d-b4c8-4b9c-a1ad-c0fd72c5bb17,no
12d2c2ac-08b7-4d53-a436-ccdc1d022bad,no
e5bbc685-a018-4d73-8d22-0f7beb9764c1,no
27ecae7a-930e-4e9c-9af2-9ef11782d8cd,no
0e9e1459-0dc2-484f-a609-a080beaa8923,yes
c726abd3-61bd-4ee3-be10-d4d8405bedf5,yes
92dd8e53-6153-4a55-9074-a91a50430b1c,yes
104f4b6d-d4f6-4a32-9f23-b6d83ef24daa,yes
bf8435a9-1fd6-443a-b11a-63188cbc0a16,yes
c0db8f03-171d-445b-b9b1-ac50ee32a8f0,yes
ae51b0cb-b304-4c96-a0b1-7f4f4dc209a9,yes
aa9e5be4-c528-437d-83c5-d52c88aacfde,yes
583545f3-bb71-47e3-b522-e3cbfda55de9,yes
cd346a2f-dda3-4eb0-8b08-aec5a47e6e15,yes
250fc2a2-a78a-4ed9-9ba2-c142c2578428,yes
8d0aebc0-9b8c-4a65-b419-109cd241fa22,yes
3dc9bb93-f652-4ac1-9f04-1908a982c6be,yes
16dff2e9-c442-4cad-80e0-f79350ce3bd6,yes
156d963c-cf70-47cf-91ab-f962242d448a,yes
d17c17b2-dd0b-452e-b179-3180ffdeb90f,yes
0ed22b41-fd1b-49e0-a0d9-e2823d179e28,yes
21e06d30-5ea6-4554-83b4-471e78ec2120,yes
e0ab0ad2-21e3-4e0d-8b45-4981001f93eb,yes
6f5e6b40-64ce-4ebd-9b87-539e50367bea,yes
a03aadbe-2752-48d1-8926-49d76c1bfcf7,yes
84ddf77c-c77b-4e14-a173-1354a94ea4bf,yes
8a677256-b9d0-4cda-a82c-dcdb8b5133b0,yes
dd623ea0-6b0d-4173-9e25-b0e17f9e6b3c,yes
29c6806e-4a78-4a0a-a942-c5b090c682fb,yes
138a2fc2-9d0c-41f5-90b8-f92878991a6f,yes
22d92c39-6735-4d2d-8852-dd1d71b9f7e1,yes
1abdd3b6-4d9d-40c3-b264-6e28dc67a031,yes
c56b2e9e-87bd-4774-81d7-5034543b5681,yes
f90aa974-a7e7-437b-9add-52fe9b1a082f,yes
a9cd87a0-47a9-475a-bc6f-a1a0ac48ced8,yes
da32f397-bac3-4ca6-a058-01a9ea365d97,no
41d576c1-63f1-4646-98c8-59433c2453e8,no
a4e01ea5-bbe2-45a0-8272-5338f8bf788f,no
f8be40f3-77fb-4ec5-b487-3dd4b609a5d9,no
63d8c4ce-57dc-49f3-a7b3-45e69f150876,no
80d46008-416b-4d2c-a96f-89589dfcc340,no
c8e1e4b3-99ba-425b-8b30-19b8fe12fe7e,no
d74b120d-b2f1-4f4c-a939-19bf5f374e20,no
4789ba50-5f9e-4acd-a661-db1192b880dd,no
2e5c834e-bb6a-4ce1-8be8-c6bf3e1b0e6e,no
5628291d-118b-4bbd-9a97-60376af85c3e,no
