question_type,exact_match_accuracy,word_similarity_accuracy,sentence_similarity_accuracy
overall,0.3413612565445026,0.34973821989528797,0.33141361256544505
colour_location,0.25,0.2708333333333333,0.7083333333333334
colour_object,0.3870967741935484,0.3870967741935484,0.9032258064516129
conjunction_colour,0.5,0.5,0.0
conjunction_colour_location,0.5975609756097561,0.5853658536585366,0.07317073170731707
conjunction_location,0.6607142857142857,0.6607142857142857,0.14285714285714285
conjunction_object,0.5,0.5,0.20833333333333334
count_colour,0.07142857142857142,0.13392857142857142,0.08928571428571429
count_colour_location,0.02027027027027027,0.20945945945945946,0.18243243243243243
count_location,0.020833333333333332,0.14583333333333334,0.14583333333333334
count_object,0.016129032258064516,0.06451612903225806,0.14516129032258066
disjunction_colour,0.36363636363636365,0.36363636363636365,0.09090909090909091
disjunction_colour_location,0.4268292682926829,0.4268292682926829,0.14634146341463414
disjunction_location,0.3392857142857143,0.3392857142857143,0.19642857142857142
disjunction_object,0.25,0.25,0.22916666666666666
existence_colour,0.5089285714285714,0.5,0.08035714285714286
existence_colour_location,0.5675675675675675,0.5540540540540541,0.14864864864864866
existence_location,0.6770833333333334,0.65625,0.3229166666666667
existence_object,0.5,0.5,0.16129032258064516
location_colour,0.48214285714285715,0.05357142857142857,0.9107142857142857
location_object,0.5161290322580645,0.16129032258064516,0.8709677419354839
spatial_colour,0.23958333333333334,0.23958333333333334,0.78125
spatial_colour_location,0.24793388429752067,0.256198347107438,0.8429752066115702
spatial_location,0.1951219512195122,0.24390243902439024,0.8048780487804879
spatial_object,0.21311475409836064,0.22950819672131148,0.8524590163934426
