question_id,prediction,answer,question_type,sentence_similarity,word_similarity,exact_match
db48f173-2d80-4ddf-8239-69d2e42cfdf8,yes there is a bag and a box in the house,yes,conjunction_object,0.13132143020629883,1.0,True
3e199641-c3b0-404f-aa41-2b93c20fcd10,yes there is a bag and a cup in the house,yes,conjunction_object,0.13445857167243958,1.0,True
a902598d-6d8c-4f38-be38-38939cd8fd8b,yes there is a bag in the house its a brown leather bag placed on the floor in the living room and yes there is a wine glass in the house its a clear glass on the dining table,yes,conjunction_object,0.0603041835129261,1.0,True
2338908e-1e11-4151-92f8-7c5b33b7546f,yes there is a box in the house,yes,conjunction_object,0.24933265149593353,1.0,True
3edbffe3-0ff4-4a0a-b356-9bfcba9863e0,yes there is a box in the house,yes,conjunction_object,0.24933265149593353,1.0,True
8081819c-143c-4a53-8631-510112e2fc6d,yes there is a chair and a desk in the house,yes,conjunction_object,0.15732908248901367,1.0,True
2dddf62a-a580-446b-815b-76d7b822b55a,yes there is a chair and a lamp in the house,yes,conjunction_object,0.1670660376548767,1.0,True
3988f449-cf0d-4484-9a6e-071ae382fdc6,yes there is a chair and an ottoman in the house,yes,conjunction_object,0.16557863354682922,1.0,True
572c0d4c-1f14-47a1-b954-f793e400a268,yes there is a chair and a sofa in the house,yes,conjunction_object,0.17743554711341858,1.0,True
84060e0a-7c57-4dd3-9407-cba949387f34,yes there is a chair in the house its a brown leather armchair and its located in the living room there is also a table in the house its a wooden coffee table and its next to the armchair in the living room,yes,conjunction_object,0.042536891996860504,1.0,True
e1676b0a-8a94-40b8-a47d-f2cd0d3c01da,yes there is a cup and a wine glass in the house,yes,conjunction_object,0.15510490536689758,1.0,True
55537f91-e191-4927-a3f0-999229096690,yes there is a desk in the house,yes,conjunction_object,0.19192683696746826,1.0,True
4718181a-3b2a-42ca-8591-08f2e7053c94,"yes there is a desk in the house located in a home office or study its a typical office desk with a chair in front of it 

yes there is also a sofa in the house located in the living room its a comfortable cushioned piece of furniture designed for sitting and relaxing",yes,conjunction_object,0.07825155556201935,1.0,True
3592a46c-6228-41df-9a8b-0025693dc9f8,yes there is a desk and a table in the house the desk is located in the home office and its a large wooden desk with a chair in front of it the table is a dining table and its located in the dining room its a rectangular table with six chairs around it,yes,conjunction_object,0.08644036948680878,1.0,True
10dbcfcd-2d95-4c86-b3aa-c8f643c86697,yes there is a lamp and a sofa in the house,yes,conjunction_object,0.1353457272052765,1.0,True
89033f8d-6610-4cfc-bfca-14f72fbdf190,yes there is a lamp and a table in the house,yes,conjunction_object,0.17084038257598877,1.0,True
4a6ae2c0-c45a-4454-b4f3-3fc9e6d98f43,yes there is a sofa in the living room and next to it is a small ottoman with a storage compartment underneath the cushion,yes,conjunction_object,0.04547553509473801,1.0,True
e1aba439-e57d-4fb2-875c-75b60c3b9225,yes there is a painting in the living room its a landscape of a mountain range and yes there is a rubiks cube on a shelf in the study,yes,conjunction_object,0.03771407902240753,1.0,True
