question_type,exact_match_accuracy,word_similarity_accuracy,sentence_similarity_accuracy
overall,0.450261780104712,0.4801047120418848,0.4120418848167539
colour_location,0.4583333333333333,0.4375,0.6875
colour_object,0.5483870967741935,0.5806451612903226,0.8709677419354839
conjunction_colour,0.7613636363636364,0.7613636363636364,0.22727272727272727
conjunction_colour_location,0.7317073170731707,0.7317073170731707,0.2073170731707317
conjunction_location,0.7142857142857143,0.7321428571428571,0.30357142857142855
conjunction_object,0.6041666666666666,0.625,0.4166666666666667
count_colour,0.08928571428571429,0.13392857142857142,0.16071428571428573
count_colour_location,0.12162162162162163,0.14189189189189189,0.08108108108108109
count_location,0.08333333333333333,0.09375,0.10416666666666667
count_object,0.04838709677419355,0.06451612903225806,0.16129032258064516
disjunction_colour,0.6022727272727273,0.6363636363636364,0.29545454545454547
disjunction_colour_location,0.5609756097560976,0.5609756097560976,0.23170731707317074
disjunction_location,0.6964285714285714,0.6964285714285714,0.48214285714285715
disjunction_object,0.7916666666666666,0.8125,0.5625
existence_colour,0.6875,0.7142857142857143,0.33035714285714285
existence_colour_location,0.6554054054054054,0.6554054054054054,0.32432432432432434
existence_location,0.7395833333333334,0.7395833333333334,0.4791666666666667
existence_object,0.6935483870967742,0.6935483870967742,0.4032258064516129
location_colour,0.16071428571428573,0.25,0.8928571428571429
location_object,0.1935483870967742,0.25806451612903225,0.9354838709677419
spatial_colour,0.28125,0.3541666666666667,0.7395833333333334
spatial_colour_location,0.2892561983471074,0.39669421487603307,0.7768595041322314
spatial_location,0.2926829268292683,0.4024390243902439,0.7439024390243902
spatial_object,0.3442622950819672,0.3770491803278688,0.7049180327868853
