question_type,exact_match_accuracy,word_similarity_accuracy,sentence_similarity_accuracy
overall,0.33612565445026177,0.374869109947644,0.43664921465968587
colour_location,0.20833333333333334,0.20833333333333334,0.6041666666666666
colour_object,0.41935483870967744,0.41935483870967744,0.8387096774193549
conjunction_colour,0.48863636363636365,0.5227272727272727,0.3409090909090909
conjunction_colour_location,0.5365853658536586,0.573170731707317,0.3780487804878049
conjunction_location,0.48214285714285715,0.48214285714285715,0.375
conjunction_object,0.5625,0.6666666666666666,0.4583333333333333
count_colour,0.11607142857142858,0.15178571428571427,0.16964285714285715
count_colour_location,0.07432432432432433,0.08783783783783784,0.0945945945945946
count_location,0.15625,0.15625,0.1875
count_object,0.12903225806451613,0.11290322580645161,0.20967741935483872
disjunction_colour,0.4318181818181818,0.4318181818181818,0.38636363636363635
disjunction_colour_location,0.35365853658536583,0.3780487804878049,0.23170731707317074
disjunction_location,0.48214285714285715,0.5,0.35714285714285715
disjunction_object,0.5,0.6041666666666666,0.2916666666666667
existence_colour,0.5535714285714286,0.6339285714285714,0.4375
existence_colour_location,0.5472972972972973,0.5878378378378378,0.49324324324324326
existence_location,0.59375,0.59375,0.4791666666666667
existence_object,0.5161290322580645,0.6451612903225806,0.3709677419354839
location_colour,0.25,0.16071428571428573,0.9464285714285714
location_object,0.25806451612903225,0.0967741935483871,0.9354838709677419
spatial_colour,0.19791666666666666,0.2604166666666667,0.6875
spatial_colour_location,0.17355371900826447,0.2892561983471074,0.743801652892562
spatial_location,0.13414634146341464,0.2682926829268293,0.6585365853658537
spatial_object,0.13114754098360656,0.22950819672131148,0.6721311475409836
